version,review_count,average_rating,negative_percentage,one_star_percentage,two_star_percentage,average_sentiment,dominant_issue,issue_percentage,neg_zscore,unusual_negative
17.32,4,4.25,25.0,0.0,25.0,0.101,Charts / App Not Working,100.0,,
17.34,5,5.0,0.0,0.0,0.0,0.557,n/a,0.0,,
17.36,1,5.0,0.0,0.0,0.0,0.432,n/a,0.0,,
17.37,3,4.67,0.0,0.0,0.0,0.438,n/a,0.0,,
17.40,3,2.33,66.7,66.7,0.0,-0.187,"General / Mixed (noisy, other-language)",50.0,,
17.44,3,2.33,66.7,66.7,0.0,-0.235,"General / Mixed (noisy, other-language)",100.0,,
17.50,3,4.0,33.3,0.0,0.0,0.057,"General / Mixed (noisy, other-language)",100.0,,
17.52,2,5.0,0.0,0.0,0.0,0.463,n/a,0.0,,
17.55,8,4.38,0.0,12.5,0.0,0.604,"General / Mixed (noisy, other-language)",100.0,,
17.59,3,4.33,66.7,0.0,0.0,-0.358,"General / Mixed (noisy, other-language)",100.0,,
17.64,5,3.4,40.0,40.0,0.0,-0.034,"General / Mixed (noisy, other-language)",100.0,,
17.68,3,3.67,0.0,33.3,0.0,0.629,n/a,0.0,,
17.70,6,4.17,16.7,16.7,0.0,0.225,Customer Support,100.0,,
17.72,3,1.0,100.0,100.0,0.0,-0.876,"General / Mixed (noisy, other-language)",66.7,,
17.74,5,3.4,40.0,40.0,0.0,0.075,High Brokerage / Charges,100.0,,
17.78,8,4.12,25.0,12.5,12.5,0.034,"General / Mixed (noisy, other-language)",100.0,,
17.85,9,4.11,11.1,11.1,11.1,0.334,"Hinglish Reviews (language, not an issue)",50.0,,
17.87,13,4.38,7.7,15.4,0.0,0.436,"General / Mixed (noisy, other-language)",100.0,,
17.88,9,4.0,44.4,11.1,11.1,-0.091,"General / Mixed (noisy, other-language)",66.7,,
17.90,6,4.17,33.3,16.7,0.0,0.158,High Brokerage / Charges,100.0,,
17.91.0,3,3.33,33.3,33.3,0.0,0.026,Charts / App Not Working,100.0,,
17.91.1,11,3.91,18.2,18.2,9.1,0.143,"General / Mixed (noisy, other-language)",50.0,,
17.92.3,4,2.75,25.0,25.0,25.0,0.106,"General / Mixed (noisy, other-language)",50.0,,
17.93.2,1,5.0,0.0,0.0,0.0,0.537,n/a,0.0,,
17.94.1,22,4.14,22.7,9.1,4.5,0.158,"Hinglish Reviews (language, not an issue)",25.0,,
17.95.0,3,1.0,100.0,100.0,0.0,-0.905,Severe Dissatisfaction ('worst app'),33.3,,
17.95.1,1,5.0,100.0,0.0,0.0,-0.363,"Hinglish Reviews (language, not an issue)",100.0,,
17.95.2,26,4.38,19.2,11.5,0.0,0.164,"General / Mixed (noisy, other-language)",40.0,,
17.96.1,1,5.0,0.0,0.0,0.0,0.432,n/a,0.0,,
17.96.5,3,4.0,33.3,0.0,0.0,0.096,Charts / App Not Working,100.0,,
17.96.6,4,4.0,25.0,25.0,0.0,0.089,"General / Mixed (noisy, other-language)",100.0,,
17.96.7,6,4.33,16.7,16.7,0.0,0.507,n/a,0.0,,
17.97.0,1,4.0,0.0,0.0,0.0,0.75,n/a,0.0,,
17.97.2,3,3.67,0.0,33.3,0.0,0.505,n/a,0.0,,
17.98.0,11,4.73,9.1,0.0,0.0,0.5,"General / Mixed (noisy, other-language)",100.0,,
17.99.0,3,5.0,0.0,0.0,0.0,0.715,n/a,0.0,,
17.99.1,3,3.67,0.0,33.3,0.0,0.374,"General / Mixed (noisy, other-language)",100.0,,
18.0.0,62,4.48,8.1,6.5,3.2,0.414,"General / Mixed (noisy, other-language)",66.7,-1.48,False
18.1.0,2,5.0,0.0,0.0,0.0,0.642,n/a,0.0,,
18.1.1,99,4.38,14.1,9.1,4.0,0.353,"General / Mixed (noisy, other-language)",72.7,0.32,False
18.2.1,43,4.65,9.3,4.7,2.3,0.444,"General / Mixed (noisy, other-language)",66.7,-1.12,False
18.3.0,1,5.0,0.0,0.0,0.0,0.646,n/a,0.0,,
18.3.1,85,4.67,8.2,5.9,0.0,0.464,High Brokerage / Charges,42.9,-1.45,False
18.4.0,6,4.67,0.0,0.0,0.0,0.492,n/a,0.0,,
18.4.1,19,4.47,5.3,5.3,5.3,0.429,n/a,0.0,,
18.4.2,22,4.41,9.1,4.5,9.1,0.422,"General / Mixed (noisy, other-language)",100.0,,
18.4.3,959,4.51,9.8,7.9,1.7,0.389,"General / Mixed (noisy, other-language)",54.6,-0.97,False
18.5.0,1300,4.32,16.7,11.5,2.1,0.311,"General / Mixed (noisy, other-language)",50.5,1.1,True
18.6.0,2,4.5,50.0,0.0,0.0,-0.22,App Update Complaints,100.0,,
18.6.1,1691,4.42,13.4,9.8,1.4,0.364,"General / Mixed (noisy, other-language)",52.8,0.11,False
18.7.0,319,4.45,11.6,8.2,1.9,0.387,"General / Mixed (noisy, other-language)",57.1,-0.43,False
18.7.1,1070,4.18,18.7,15.2,1.9,0.304,"General / Mixed (noisy, other-language)",61.1,1.7,True
18.8.1,1192,4.45,13.0,9.0,1.8,0.364,"General / Mixed (noisy, other-language)",52.3,-0.01,False
18.9.0,1604,4.51,11.7,7.7,1.4,0.393,"General / Mixed (noisy, other-language)",51.9,-0.4,False
18.10.0,1,5.0,0.0,0.0,0.0,0.572,n/a,0.0,,
18.10.1,1722,4.37,14.9,11.1,1.6,0.333,"General / Mixed (noisy, other-language)",50.0,0.56,False
18.11.0,45,4.18,15.6,13.3,4.4,0.317,"General / Mixed (noisy, other-language)",50.0,0.77,False
18.11.1,2342,4.58,9.3,6.5,1.2,0.417,"General / Mixed (noisy, other-language)",53.0,-1.12,False
18.12.0,13,4.62,7.7,7.7,0.0,0.437,"General / Mixed (noisy, other-language)",100.0,,
18.12.1,1958,4.52,11.0,8.3,1.5,0.394,"General / Mixed (noisy, other-language)",48.1,-0.61,False
18.13.0,3,5.0,0.0,0.0,0.0,0.75,n/a,0.0,,
18.13.1,123,4.32,16.3,12.2,2.4,0.324,"General / Mixed (noisy, other-language)",71.4,0.98,False
18.13.2,2161,4.49,11.9,8.2,1.4,0.376,"General / Mixed (noisy, other-language)",56.9,-0.34,False
18.14.0,313,4.5,11.8,8.3,1.0,0.379,"General / Mixed (noisy, other-language)",38.5,-0.37,False
18.14.1,659,4.38,15.9,10.8,2.4,0.341,"General / Mixed (noisy, other-language)",47.1,0.86,False
18.14.2,306,4.2,19.3,14.7,2.0,0.283,"General / Mixed (noisy, other-language)",51.7,1.88,True
18.15.0,4,3.75,25.0,25.0,0.0,0.176,Severe Dissatisfaction ('worst app'),100.0,,
