version,issue,review_count,pct_of_version_issues
18.4.3,Customer Support,4,4.1
18.4.3,Severe Dissatisfaction ('worst app'),4,4.1
18.4.3,Charts / App Not Working,3,3.1
18.5.0,"General / Mixed (noisy, other-language)",107,50.5
18.5.0,App Update Complaints,21,9.9
18.5.0,Customer Support,20,9.4
18.5.0,High Brokerage / Charges,19,9.0
18.5.0,"Hinglish Reviews (language, not an issue)",18,8.5
18.5.0,Charts / App Not Working,12,5.7
18.5.0,Severe Dissatisfaction ('worst app'),9,4.2
18.5.0,Generic Negative Experience,6,2.8
18.6.0,App Update Complaints,1,100.0
18.6.1,"General / Mixed (noisy, other-language)",113,52.8
18.6.1,App Update Complaints,19,8.9
18.6.1,High Brokerage / Charges,17,7.9
18.6.1,"Hinglish Reviews (language, not an issue)",17,7.9
18.6.1,Customer Support,16,7.5
18.6.1,Generic Negative Experience,13,6.1
18.6.1,Severe Dissatisfaction ('worst app'),11,5.1
18.6.1,Charts / App Not Working,8,3.7
18.7.0,"General / Mixed (noisy, other-language)",20,57.1
18.7.0,App Update Complaints,6,17.1
18.7.0,High Brokerage / Charges,4,11.4
18.7.0,Charts / App Not Working,2,5.7
18.7.0,Customer Support,2,5.7
18.7.0,Generic Negative Experience,1,2.9
18.7.1,"General / Mixed (noisy, other-language)",124,61.1
18.7.1,App Update Complaints,21,10.3
18.7.1,Charts / App Not Working,15,7.4
18.7.1,"Hinglish Reviews (language, not an issue)",11,5.4
18.7.1,Customer Support,10,4.9
18.7.1,High Brokerage / Charges,9,4.4
18.7.1,Severe Dissatisfaction ('worst app'),9,4.4
18.7.1,Generic Negative Experience,4,2.0
18.8.1,"General / Mixed (noisy, other-language)",80,52.3
18.8.1,Charts / App Not Working,19,12.4
18.8.1,Customer Support,17,11.1
18.8.1,High Brokerage / Charges,12,7.8
18.8.1,"Hinglish Reviews (language, not an issue)",9,5.9
18.8.1,App Update Complaints,6,3.9
18.8.1,Generic Negative Experience,6,3.9
18.8.1,Severe Dissatisfaction ('worst app'),4,2.6
18.9.0,"General / Mixed (noisy, other-language)",95,51.9
18.9.0,High Brokerage / Charges,18,9.8
18.9.0,Customer Support,14,7.7
18.9.0,"Hinglish Reviews (language, not an issue)",14,7.7
18.9.0,App Update Complaints,13,7.1
18.9.0,Charts / App Not Working,11,6.0
18.9.0,Severe Dissatisfaction ('worst app'),11,6.0
18.9.0,Generic Negative Experience,7,3.8
